time,height
2024-01-01 00:00:00+00:00,0.376
2024-01-01 01:00:00+00:00,0.016
2024-01-01 02:00:00+00:00,-0.339
2024-01-01 03:00:00+00:00,-0.592
2024-01-01 04:00:00+00:00,-0.743
2024-01-01 05:00:00+00:00,-0.706
2024-01-01 06:00:00+00:00,-0.562
2024-01-01 07:00:00+00:00,-0.311
2024-01-01 08:00:00+00:00,-0.032
2024-01-01 09:00:00+00:00,0.255
2024-01-01 10:00:00+00:00,0.494
2024-01-01 11:00:00+00:00,0.660
2024-01-01 12:00:00+00:00,0.679
2024-01-01 13:00:00+00:00,0.635
2024-01-01 14:00:00+00:00,0.453
2024-01-01 15:00:00+00:00,0.286
2024-01-01 16:00:00+00:00,0.138
2024-01-01 17:00:00+00:00,0.075
2024-01-01 18:00:00+00:00,0.155
2024-01-01 19:00:00+00:00,0.238
2024-01-01 20:00:00+00:00,0.419
2024-01-01 21:00:00+00:00,0.572
2024-01-01 22:00:00+00:00,0.628
2024-01-01 23:00:00+00:00,0.594
2024-01-02 00:00:00+00:00,0.447
2024-01-02 01:00:00+00:00,0.183
2024-01-02 02:00:00+00:00,-0.153
2024-01-02 03:00:00+00:00,-0.417
2024-01-02 04:00:00+00:00,-0.634
2024-01-02 05:00:00+00:00,-0.677
2024-01-02 06:00:00+00:00,-0.607
2024-01-02 07:00:00+00:00,-0.407
2024-01-02 08:00:00+00:00,-0.166
2024-01-02 09:00:00+00:00,0.119
2024-01-02 10:00:00+00:00,0.387
2024-01-02 11:00:00+00:00,0.569
2024-01-02 12:00:00+00:00,0.680
2024-01-02 13:00:00+00:00,0.687
2024-01-02 14:00:00+00:00,0.571
2024-01-02 15:00:00+00:00,0.393
2024-01-02 16:00:00+00:00,0.190
2024-01-02 17:00:00+00:00,0.048
2024-01-02 18:00:00+00:00,0.010
2024-01-02 19:00:00+00:00,0.047
2024-01-02 20:00:00+00:00,0.159
2024-01-02 21:00:00+00:00,0.310
2024-01-02 22:00:00+00:00,0.454
2024-01-02 23:00:00+00:00,0.514
2024-01-03 00:00:00+00:00,0.532
2024-01-03 01:00:00+00:00,0.393
2024-01-03 02:00:00+00:00,0.177
2024-01-03 03:00:00+00:00,-0.087
2024-01-03 04:00:00+00:00,-0.326
2024-01-03 05:00:00+00:00,-0.404
2024-01-03 06:00:00+00:00,-0.446
2024-01-03 07:00:00+00:00,-0.321
2024-01-03 08:00:00+00:00,-0.147
2024-01-03 09:00:00+00:00,0.101
2024-01-03 10:00:00+00:00,0.346
2024-01-03 11:00:00+00:00,0.561
2024-01-03 12:00:00+00:00,0.726
2024-01-03 13:00:00+00:00,0.786
2024-01-03 14:00:00+00:00,0.722
2024-01-03 15:00:00+00:00,0.536
2024-01-03 16:00:00+00:00,0.306
2024-01-03 17:00:00+00:00,0.094
2024-01-03 18:00:00+00:00,-0.056
2024-01-03 19:00:00+00:00,-0.120
2024-01-03 20:00:00+00:00,-0.109
2024-01-03 21:00:00+00:00,-0.023
2024-01-03 22:00:00+00:00,0.116
2024-01-03 23:00:00+00:00,0.218
2024-01-04 00:00:00+00:00,0.281
2024-01-04 01:00:00+00:00,0.274
2024-01-04 02:00:00+00:00,0.143
2024-01-04 03:00:00+00:00,0.006
2024-01-04 04:00:00+00:00,-0.215
2024-01-04 05:00:00+00:00,-0.352
2024-01-04 06:00:00+00:00,-0.448
2024-01-04 07:00:00+00:00,-0.404
2024-01-04 08:00:00+00:00,-0.314
2024-01-04 09:00:00+00:00,-0.093
2024-01-04 10:00:00+00:00,0.106
2024-01-04 11:00:00+00:00,0.338
2024-01-04 12:00:00+00:00,0.529
2024-01-04 13:00:00+00:00,0.677
2024-01-04 14:00:00+00:00,0.685
2024-01-04 15:00:00+00:00,0.569
2024-01-04 16:00:00+00:00,0.380
2024-01-04 17:00:00+00:00,0.099
2024-01-04 18:00:00+00:00,-0.131
2024-01-04 19:00:00+00:00,-0.325
2024-01-04 20:00:00+00:00,-0.369
2024-01-04 21:00:00+00:00,-0.362
2024-01-04 22:00:00+00:00,-0.252
2024-01-04 23:00:00+00:00,-0.143
2024-01-05 00:00:00+00:00,0.001
2024-01-05 01:00:00+00:00,0.123
2024-01-05 02:00:00+00:00,0.133
2024-01-05 03:00:00+00:00,0.104
